,SMILES,lambda_max_exp_nm,solvent,reference,description,mol_wt,abs_max_ev
1704,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1nc2ccccc2nc1-n1c2ccc(OC)cc2c2cc(OC)ccc21,437,toluene,DOI: 10.1021/acs.jpclett.8b00136,DBtag:6458,580.2110554,2.837
1705,Cc1cc(C)c(N(c2ccccc2)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc(N(c5ccccc5)c5c(C)cc(C)cc5C)cc4)cc3)cc2)c(C)c1,351,toluene,DOI: 10.1021/acs.chemmater.7b02964,DBtag:6472,776.2742499,3.532
1706,O=S(=O)(c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(S(=O)(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,354,toluene,DOI: 10.1021/acs.chemmater.7b02964,DBtag:6475,692.1803495,3.502
1707,O=S(=O)(c1ccc2c(c1)c1ccccc1n2-c1ccccc1)c1ccc2c(c1)c1ccccc1n2-c1ccccc1,290,dichloromethane,DOI: 10.1021/acsami.8b14070,DBtag:6481,548.155849,4.275
1708,O=C1c2ccc(N(c3ccccc3)c3ccccc3)cc2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc21,449,toluene,http://dx.doi.org/10.1021/ja510144h,DBtag:6484,542.1994281,2.761
1709,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)C(=O)c1ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc1C2=O,463,toluene,http://dx.doi.org/10.1021/ja510144h,DBtag:6486,762.418529,2.678
1710,CC1(C)c2ccccc2N(c2ccc3c(c2)C(=O)c2ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc2C3=O)c2ccccc21,527,toluene,http://dx.doi.org/10.1021/ja510144h,DBtag:6487,622.2620283,2.353
1711,O=C1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2C(=O)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,454,toluene,http://dx.doi.org/10.1021/ja510144h,DBtag:6488,694.2620283,2.731
1712,CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C(=O)c3ccc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)cc3C4=O)cc2)c2ccccc21,446,toluene,http://dx.doi.org/10.1021/ja510144h,DBtag:6491,774.3246286,2.78
1713,Cc1nnc(-c2cc(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)cc2-c2nnc(C)o2)o1,353,dichloromethane,DOI: 10.1021/acsami.8b11136,DBtag:6504,572.196074,3.512
1714,c1ccc(-c2nnc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)cc3-c3nnc(-c4ccccc4)o3)o2)cc1,361,dichloromethane,DOI: 10.1021/acsami.8b11136,DBtag:6505,696.2273741,3.434
1715,COc1ccc(-c2nnc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)cc3-c3nnc(-c4ccc(OC)cc4)o3)o2)cc1,353,dichloromethane,DOI: 10.1021/acsami.8b11136,DBtag:6507,756.2485035,3.512
1716,O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc2sc3ccccc3c2c1,312,tetrahydrofuran,DOI: 10.1021/acs.chemmater.7b00450,DBtag:6518,469.1136498,3.974
1717,O=C(c1ccc(N2c3ccccc3Sc3ccccc32)cc1)c1ccc2sc3ccccc3c2c1,330,tetrahydrofuran,DOI: 10.1021/acs.chemmater.7b00450,DBtag:6519,485.0908062,3.757
1718,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc3nc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)nn3c2)cc1,341,tetrahydrofuran,DOI: 10.1021/acsami.8b07462,DBtag:6536,601.2266459,3.636
1719,c1ccc(-n2c3ccccc3c3cc(-c4ccc5nc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)nn5c4)ccc32)cc1,340,tetrahydrofuran,DOI: 10.1021/acsami.8b07462,DBtag:6537,601.2266459,3.647
1720,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccn3nc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)nc3c2)cc1,342,tetrahydrofuran,DOI: 10.1021/acsami.8b07462,DBtag:6538,601.2266459,3.625
1721,c1ccc(-n2c3ccccc3c3cc(-c4ccn5nc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)nc5c4)ccc32)cc1,341,tetrahydrofuran,DOI: 10.1021/acsami.8b07462,DBtag:6539,601.2266459,3.636
1722,O=C(/C=C(\O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc(N2c3ccccc3Oc3ccccc32)cc1,441,toluene,DOI: 10.1021/jacs.8b04795,DBtag:6540,586.1892573,2.811
1723,CC(C)(C(=O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1)C(=O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1,416,toluene,DOI: 10.1021/jacs.8b04795,DBtag:6541,614.2205574,2.98
1724,CC1(C)c2ccccc2N(c2ccc(C(=O)/C=C(\O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,406,toluene,DOI: 10.1021/jacs.8b04795,DBtag:6542,638.2933285,3.054
1725,CC(C)(C(=O)c1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1)C(=O)c1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1,390,toluene,DOI: 10.1021/jacs.8b04795,DBtag:6543,666.3246286,3.179
1726,O=C(c1ccncc1)c1cc(-n2c3ccccc3c3ccccc32)ccc1-n1c2ccccc2c2ccccc21,400,toluene,DOI: 10.1021/jacs.5b10950,DBtag:6548,513.1841124,3.1
1727,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C(=O)c2ccncc2)c1,418,toluene,DOI: 10.1021/jacs.5b10950,DBtag:6549,737.4345134,2.966
1728,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1cc2c3ccccc3n3c4ccccc4c(c1)c23,344,tetrahydrofuran,DOI: 10.1021/acsami.7b09351,DBtag:6552,571.2048478,3.604
1729,CC1(C)c2ccccc2N(c2cc3c4ccccc4n4c5ccccc5c(c2)c34)c2ccccc21,368,tetrahydrofuran,DOI: 10.1021/acsami.7b09351,DBtag:6553,448.1939488,3.369
1730,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)cc4c5ccccc5n3c42)c2ccccc21,367,tetrahydrofuran,DOI: 10.1021/acsami.7b09351,DBtag:6554,655.2987482,3.378
1731,c1ccc(-n2c3ccccc3c3cc(-c4cccc(-n5c6ccccc6c6ncccc65)c4)ccc32)cc1,345,dichloromethane,DOI: 10.1021/acsami.7b04987,DBtag:6564,485.1891977,3.594
1732,c1ccc(-n2c3ccccc3c3cc(-c4cccc(-n5c6cccnc6c6c7sc8ccccc8c7ccc65)c4)ccc32)cc1,365,dichloromethane,DOI: 10.1021/acsami.7b04987,DBtag:6565,591.1769188,3.397
1733,c1ccc(-n2c3ccccc3c3cc(-c4cccc(-n5c6ccccc6c6c7sc8ccccc8c7ccc65)c4)ccc32)cc1,355,dichloromethane,DOI: 10.1021/acsami.7b04987,DBtag:6566,590.1816698,3.493
1734,CC1(C)c2ccccc2N(c2ccc(-c3nnc(-c4ccccc4)o3)cc2)c2ccccc21,360,toluene,"DOI: 10.1021/acsami.8b16199, DOI: 10.1021/acsomega.8b01979",DBtag:6578,429.1841124,3.444
1735,N#Cc1cccc(-c2cccc(-c3nc(-c4cccc(-c5cccc(C#N)c5)c4)nc(-c4cccc(-c5cccc(C#N)c5)c4)n3)c2)c1,270,dichloromethane,http://doi.org/10.1021/acsami.5b11895,DBtag:6590,612.2062448,4.592
1736,N#Cc1ccc(-n2c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)nc3c4ccccc4c4ccccc4c32)c2ccccc12,308,dichloromethane,DOI: 10.1021/acsomega.8b03617,DBtag:6595,694.219118,4.025
1737,N#Cc1ccc(-n2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)nc3c4ccccc4c4ccccc4c32)c2ccccc12,301,dichloromethane,DOI: 10.1021/acsomega.8b03617,DBtag:6596,692.2034679,4.119
1738,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1-c1nnc(-c2ccccc2)o1,344,toluene,DOI: 10.1021/acs.chemmater.8b02632,DBtag:6602,459.0994749,3.604
1739,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c1-c1nnc(-c2ccccc2)o1,347,toluene,DOI: 10.1021/acs.chemmater.8b02632,DBtag:6603,606.166746,3.573
1740,Fc1c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c(-c2nnc(-c3ccccc3)o2)c1-n1c2ccccc2c2ccccc21,345,toluene,DOI: 10.1021/acs.chemmater.8b02632,DBtag:6604,753.234017,3.594
1741,Fc1c(-c2nnc(-c3ccccc3)o2)c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,361,toluene,DOI: 10.1021/acs.chemmater.8b02632,DBtag:6605,753.234017,3.434
1742,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1,364,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6608,474.1844467,3.406
1743,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c(cc54)C4c5ccccc5C6c5ccccc54)cc3)n2)cc1,373,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6609,650.247047,3.324
1744,Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccccc2c2cc3c(cc21)C1c2ccccc2C3c2ccccc21,364,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6610,664.262697,3.406
1745,Cc1cc(-n2c3ccccc3c3cc4c(cc32)C2c3ccccc3C4c3ccccc32)ccc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1,367,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6611,664.262697,3.378
1746,Cc1cc(-n2c3ccccc3c3cc4c(cc32)C2c3ccccc3C4c3ccccc32)c(C)cc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1,345,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6612,678.2783471,3.594
1747,Cc1c(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc(-n2c3ccccc3c3cc4c(cc32)C2c3ccccc3C4c3ccccc32)c1C,344,toluene,DOI: 10.1021/acs.chemmater.7b03490,DBtag:6613,678.2783471,3.604
1748,CC1(C)c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2Oc2c(N3c4ccccc4Sc4ccccc43)cccc21,310,toluene,DOI: 10.1021/jacs.7b00873,DBtag:6620,638.2140326,3.999
1749,CC1(C)c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2Oc2c(-n3c4ccccc4c4ccccc43)cccc21,341,toluene,DOI: 10.1021/jacs.7b00873,DBtag:6626,606.2419616,3.636
1750,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccc2c1Oc1c(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cccc1C2(C)C,346,toluene,DOI: 10.1021/jacs.7b00873,DBtag:6631,718.3671621,3.583
1751,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1ccc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1,341,tetrahydrofuran,DOI: 10.1021/acsami.6b08738,DBtag:6649,738.2783471,3.636
1752,CC1(C)c2ccccc2N(c2c(F)cc(-c3nnc(-c4ccccc4)o3)cc2F)c2ccccc21,376,toluene,DOI: 10.1021/acsomega.8b01979,DBtag:6660,465.1652687,3.297
1753,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)c4nsnc34)cc2)cc1,485,dichloromethane,DOI: 10.1021/acsami.9b06612,DBtag:6704,678.2817182,2.556
1754,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c(cc(-c5ccc(N(c6ccc(C)cc6)c6ccc(C)cc6)cc5)c5nsnc54)c4nsnc34)cc2)cc1,518,dichloromethane,DOI: 10.1021/acsami.9b06612,DBtag:6705,786.2599372,2.394
1755,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3c4ccccc4c(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)c4nsnc34)cc2)cc1,536,dichloromethane,DOI: 10.1021/acsami.9b06612,DBtag:6706,728.2973683,2.313
1756,c1ccc(-n2c(-c3ccc(-c4c5ccccc5c(-c5cccc(-n6c7ccccc7c7ccccc76)c5)c5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1,397,dichloromethane,DOI: 10.1021/acsami.9b10823,DBtag:6715,787.2987482,3.123
1757,c1ccc(-n2c(-c3cccc(-c4c5ccccc5c(-c5cccc(-n6c7ccccc7c7ccccc76)c5)c5ccccc45)c3)nc3c4ccccc4c4ccccc4c32)cc1,396,dichloromethane,DOI: 10.1021/acsami.9b10823,DBtag:6719,787.2987482,3.131
1758,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1/C=C/c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,367,toluene,DOI: 10.1021/acs.jpcc.8b03895,DBtag:6734,671.2236128,3.378
1759,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1/C=C/C(=C(c1ccccc1)c1ccccc1)c1ccccc1,360,toluene,DOI: 10.1021/acs.jpcc.8b03895,DBtag:6735,595.1923127,3.444
1760,N#Cc1cc(C#N)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,394,toluene,DOI: 10.1021/acsami.7b10202,DBtag:6738,614.247047,3.147
1761,N#Cc1cc(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,405,toluene,DOI: 10.1021/acsami.7b10202,DBtag:6739,777.2892461,3.061
1762,c1cc(-n2c3ccccc3c3ccccc32)c(-c2nc3ccccn3n2)c(-n2c3ccccc3c3ccccc32)c1,338,toluene,DOI: 10.1021/acsami.7b18202,DBtag:6747,525.1953457,3.668
1763,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2nc3ccccn3n2)cc(-n2c3ccccc3c3ccccc32)c1,338,toluene,DOI: 10.1021/acsami.7b18202,DBtag:6748,525.1953457,3.668
1764,Cc1ccc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc1,390,acetonitrile,DOI: 10.1021/acs.joc.5b02423,DBtag:6755,360.1262631,3.179
1765,CC(C)(C)c1ccc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc1,390,acetonitrile,DOI: 10.1021/acs.joc.5b02423,DBtag:6762,402.1732133,3.179
1766,COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC,391,acetonitrile,DOI: 10.1021/acs.joc.5b02423,DBtag:6769,436.1423071,3.171
1767,c1ccc(-n2c(-c3cccc4ccccc34)nc3c4ccccc4c4ccccc4c32)cc1,356,toluene,DOI: 10.1021/acsami.6b10004,DBtag:6787,420.1626486,3.483
1768,c1ccc(-n2c(-c3cccc4ccccc34)nc3c4cccc5ccc6cccc(c6c54)c32)cc1,380,toluene,DOI: 10.1021/acsami.6b10004,DBtag:6791,444.1626486,3.263
1769,O=S(=O)(c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,341,toluene,http://dx.doi.org/10.1021/cm400945h,DBtag:6799,700.2184493,3.636
1770,O=S(=O)(c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1)c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1,332,toluene,http://dx.doi.org/10.1021/cm400945h,DBtag:6805,700.2184493,3.734
1771,FC(F)(F)c1cc2n(n1)[B-](c1ccccc1)(c1ccccc1)[n+]1ccc3ccccc3c1-2,377,toluene,DOI: 10.1021/acs.jpcc.8b11100,DBtag:6812,427.1467626,3.289
1772,Cc1ccc([B-]2(c3ccc(C)cc3)n3nc(C(F)(F)F)cc3-c3c4ccccc4cc[n+]32)cc1,377,toluene,DOI: 10.1021/acs.jpcc.8b11100,DBtag:6813,455.1780627,3.289
1773,Cc1ccccc1[B-]1(c2ccccc2C)n2nc(C(F)(F)F)cc2-c2c3ccccc3cc[n+]21,380,toluene,DOI: 10.1021/acs.jpcc.8b11100,DBtag:6814,455.1780627,3.263
1774,FC(F)(F)c1cc2n(n1)[B-]1(c3ccccc3-c3ccccc31)[n+]1ccc3ccccc3c1-2,375,toluene,DOI: 10.1021/acs.jpcc.8b11100,DBtag:6815,425.1311125,3.306
1775,FC(F)(F)c1cc2n(n1)[B-]1(c3ccccc3Oc3ccccc31)[n+]1ccc3ccccc3c1-2,378,toluene,DOI: 10.1021/acs.jpcc.8b11100,DBtag:6816,441.1260272,3.28
1776,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(-c5c(-c6ccccc6)nc6ccccn56)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1,364,dichloromethane,DOI: 10.1021/acsami.7b19646,DBtag:6827,694.3096472,3.406
1777,Cc1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)ccc1-c1ccc(-c2c(-c3ccccc3)nc3ccccn23)cc1,364,dichloromethane,DOI: 10.1021/acsami.7b19646,DBtag:6828,708.3252973,3.406
1778,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cccc(-c5c(-c6ccccc6)nc6ccccn56)c4)cc3)nc3c4ccccc4c4ccccc4c32)cc1,365,dichloromethane,DOI: 10.1021/acsami.7b19646,DBtag:6829,694.3096472,3.397
1779,COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccccc3)=C2)c1,369,dichloromethane,DOI: 10.1021/acs.jpcc.9b05736,DBtag:6833,332.1031458,3.36
1780,COc1ccc(C2=CC(c3cc(OC)cc(OC)c3)=[O+][B-](F)(F)O2)cc1,396,dichloromethane,DOI: 10.1021/acs.jpcc.9b05736,DBtag:6834,362.1137105,3.131
1781,COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4ccccc4c3)=C2)c1,402,dichloromethane,DOI: 10.1021/acs.jpcc.9b05736,DBtag:6835,382.1187959,3.084
1782,COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3cccs3)=C2)c1,391,dichloromethane,DOI: 10.1021/acs.jpcc.9b05736,DBtag:6836,338.0595667,3.171
1783,COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4cc(OC)ccc4c3)=C2)c1,427,dichloromethane,DOI: 10.1021/acs.jpcc.9b05736,DBtag:6837,412.1293605,2.904
